Name,Address,City,Rating,Review Count,Coordinates,Price
Kevin Break Photography Studio,"['600 Moulton Ave', 'Ste 205', 'Los Angeles, CA 90031']",Los Angeles,5.0,6,"{'latitude': 34.0657134, 'longitude': -118.2188679}",
Tomato Wedding,"['2707 W Olympic Blvd', 'Ste 201', 'Los Angeles, CA 90006']",Los Angeles,4.5,146,"{'latitude': 34.0529228, 'longitude': -118.2919798}",2.0
Infinity Media Studio Rental,"['1905 S Victory Blvd', 'unit  15', 'Glendale, CA 91201']",Glendale,4.0,1,"{'latitude': 34.1644835, 'longitude': -118.3040923}",
Leisure Visuals,"['1340 E 6th St', 'Ste 531', 'Los Angeles, CA 90021']",Los Angeles,1.0,1,"{'latitude': 34.0376406, 'longitude': -118.2341354}",
That's Wasabi,"['30 Horizon Avenue', 'Venice, CA 90291']",Venice,5.0,1,"{'latitude': 33.988396, 'longitude': -118.473562}",
General Camera Repair,"['2218 E Colorado Blvd', 'Pasadena, CA 91107']",Pasadena,4.0,84,"{'latitude': 34.1458955, 'longitude': -118.1046798}",2.0
Noho Photo Studio Rentals,"['7421 Laurel Canyon Blvd', 'Los Angeles, CA 91605']",Los Angeles,5.0,9,"{'latitude': 34.205322265625, 'longitude': -118.397109985352}",
414 West Pico Studios,"['414 W Pico Blvd', 'Los Angeles, CA 90015']",Los Angeles,3.5,5,"{'latitude': 34.03885, 'longitude': -118.26499}",
Huron Substation,"['2640 Huron St', 'Los Angeles, CA 90065']",Los Angeles,4.5,30,"{'latitude': 34.08513, 'longitude': -118.2218}",
LJ's Partyland,"['Los Angeles, CA 90210']",Los Angeles,5.0,167,"{'latitude': 34.07141, 'longitude': -118.39741}",
Cam Photo & Imaging,"['519 N Glenoaks Blvd', 'Burbank, CA 91502']",Burbank,4.0,70,"{'latitude': 34.186183, 'longitude': -118.310675}",2.0
Dreaming Tree Studio,"['1112 Chestnut St', 'Unit B', 'Burbank, CA 91506']",Burbank,5.0,5,"{'latitude': 34.1806030273438, 'longitude': -118.323188781738}",
Evidence Cameras,"['3370 N San Fernando Rd', 'UNIT 201', 'Los Angeles, CA 90065']",Los Angeles,4.0,4,"{'latitude': 34.117626181893854, 'longitude': -118.2514745}",
Fromex One Hour Photo Systems,"['745 E Valley Blvd', 'San Gabriel, CA 91776']",San Gabriel,4.5,153,"{'latitude': 34.080705, 'longitude': -118.090964}",1.0
1333 Studio - Photo and Video Studio,"['1333 South Hill St', 'Los Angeles, CA 90015']",Los Angeles,5.0,3,"{'latitude': 34.03699, 'longitude': -118.26307}",
WICK Studios,"['1444 N Highland Ave', 'Hollywood, CA 90028']",Hollywood,5.0,6,"{'latitude': 34.0973506624007, 'longitude': -118.338416067459}",
Champion Site + Sound - Formerly Swing House,"['3229 Casitas Ave', 'Los Angeles, CA 90039']",Los Angeles,4.5,24,"{'latitude': 34.1156729, 'longitude': -118.2509263}",
Transylvania Film & Tv Corp,"['10619 Burbank Blvd', 'North Hollywood, CA 91601']",North Hollywood,5.0,10,"{'latitude': 34.17242, 'longitude': -118.36232}",
F22 Studios,"['610 N Victory Blvd', 'Burbank, CA 91502']",Burbank,5.0,1,"{'latitude': 34.1798235, 'longitude': -118.3190594}",
Branam Enterprises,"['9152 Independence Ave', 'Chatsworth, CA 91311']",Chatsworth,5.0,1,"{'latitude': 34.237391, 'longitude': -118.59056}",
