Name,Address,City,Rating,Review Count,Coordinates,Price
Bel Air Branding,"['Los Angeles, CA 90024']",Los Angeles,5.0,2,"{'latitude': 34.0513194161959, 'longitude': -118.236853336572}",
Bokeh Rentals,"['3921 W Jefferson Blvd', 'Ste 103', 'Los Angeles, CA 90016']",Los Angeles,4.5,15,"{'latitude': 34.02588863806784, 'longitude': -118.3389418}",
Greystone Mansion & Gardens - The Doheny Estate,"['905 Loma Vista Dr', 'Beverly Hills, CA 90210']",Beverly Hills,4.5,336,"{'latitude': 34.0926873932396, 'longitude': -118.401729777774}",
Lawry's The Prime Rib - Beverly Hills,"['100 N La Cienega Blvd', 'Beverly Hills, CA 90211']",Beverly Hills,4.0,4081,"{'latitude': 34.067702, 'longitude': -118.376078}",3.0
Pearywinkle,"['Hollywood, CA 90068']",Hollywood,5.0,1,"{'latitude': 34.1015586853027, 'longitude': -118.33708190918}",
The Paramour Estate,"['1923 Micheltorena St', 'Los Angeles, CA 90026']",Los Angeles,5.0,4,"{'latitude': 34.094790621181, 'longitude': -118.271996363912}",
ARTS LA,"['120 N Santa Fe Ave', 'Los Angeles, CA 90012']",Los Angeles,5.0,1,"{'latitude': 34.048938, 'longitude': -118.2322249}",
LA Hangar Studios,"['2627 Medford St', 'Los Angeles, CA 90033']",Los Angeles,4.5,3,"{'latitude': 34.062858581543, 'longitude': -118.193794250488}",
Smoke House Restaurant,"['4420 W Lakeside Dr', 'Burbank, CA 91505']",Burbank,3.5,1394,"{'latitude': 34.14555, 'longitude': -118.341316}",3.0
Imperial Media Services,"['3202 Pennsylvania Ave', 'Santa Monica, CA 90404']",Santa Monica,4.5,43,"{'latitude': 34.0339369, 'longitude': -118.4637977}",
Garnish Music Production School,"['7600 Melrose Ave', 'West Hollywood, CA 90046']",West Hollywood,5.0,30,"{'latitude': 34.0834679, 'longitude': -118.3555176}",
WOVA World of Video & Audio,"['1155 S Robertson Blvd', 'Los Angeles, CA 90035']",Los Angeles,5.0,53,"{'latitude': 34.0555809, 'longitude': -118.38399}",
Little Beast Restaurant,"['1496 Colorado Blvd', 'Los Angeles, CA 90041']",Los Angeles,4.0,1066,"{'latitude': 34.138895, 'longitude': -118.198003}",2.0
Matrix Theatre,"['7657 Melrose Ave', 'Los Angeles, CA 90046']",Los Angeles,4.5,15,"{'latitude': 34.0839958190918, 'longitude': -118.356651306152}",
The Enchanted Manor,"['5235 Goodland Ave', 'Valley Village, CA 91607']",Valley Village,5.0,15,"{'latitude': 34.16614, 'longitude': -118.41238}",
Kaleidoscope Content,"['Los Angeles, CA 90046']",Los Angeles,5.0,3,"{'latitude': 34.1072387695312, 'longitude': -118.364761352539}",
Epiphany Space,"['1763 N Gower St', 'Los Angeles, CA 90028']",Los Angeles,5.0,17,"{'latitude': 34.103032, 'longitude': -118.322797}",
Pro HD Rentals,"['2201 Hollywood Way', 'Ste 1', 'Burbank, CA 91505']",Burbank,5.0,51,"{'latitude': 34.188555, 'longitude': -118.34928}",2.0
Pollution Studios,"['3239 E Union Pacific', 'Los Angeles, CA 90023']",Los Angeles,5.0,27,"{'latitude': 34.01679, 'longitude': -118.20969}",
Alfred House Productions,"['1711 S Robertson Ave', 'No. 341', 'Los Angeles, CA 90035']",Los Angeles,5.0,8,"{'latitude': 34.0485771, 'longitude': -118.3857787}",
Poko Event Productions,"['10683 Santa Monica Blvd', 'Los Angeles, CA 90025']",Los Angeles,5.0,6,"{'latitude': 34.052904, 'longitude': -118.430941}",
Best Image Solutions Product Photography,"['608 S Hill St', 'Ste 900', 'Los Angeles, CA 90014']",Los Angeles,4.0,5,"{'latitude': 34.0469089, 'longitude': -118.2532384}",
EYESTORM CREATIVE,"['1300 Factory Pl', 'Ste 208', 'Los Angeles, CA 90013']",Los Angeles,5.0,3,"{'latitude': 34.038894, 'longitude': -118.2359822}",
Lit Party Rentals,"['Burbank, CA 91501']",Burbank,5.0,71,"{'latitude': 34.18805, 'longitude': -118.30115}",
Jive Duck Studios,"['Burbank, CA 91501']",Burbank,5.0,30,"{'latitude': 34.1808392, 'longitude': -118.3089661}",
Station 22,"['4346 Sepulveda Blvd', 'Culver City, CA 90230']",Culver City,5.0,8,"{'latitude': 34.003961, 'longitude': -118.40816}",
Stage of Mind,"['Pasadena, CA 91115']",Pasadena,5.0,113,"{'latitude': 34.1477671417902, 'longitude': -118.144172177246}",
Moving Images Entertainment,"['10801 National Blvd', 'Ste 348', 'Los Angeles, CA 90064']",Los Angeles,5.0,1,"{'latitude': 34.03122, 'longitude': -118.4204}",
Geronimo Creek,"['2920 N Naomi St', 'Burbank, CA 91504']",Burbank,5.0,1,"{'latitude': 34.206595, 'longitude': -118.3547464}",
Third Street Theatre @ YADA,"['8115 W 3rd St', 'Los Angeles, CA 90048']",Los Angeles,5.0,12,"{'latitude': 34.0724602, 'longitude': -118.3664322}",
