Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories,Latitude,Longitude
Hello Super Studios,"['Brooklyn, NY 11206']",Brooklyn,5.0,9,"{'latitude': 40.7038917541504, 'longitude': -73.9447479248047}",,NYUeaXG5lT7CLKt-oZZxDw,"[{'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7038917541504,-73.9447479248047
Valerie Terranova Photography,"['New York, NY 10029']",New York,5.0,1,"{'latitude': 40.79138, 'longitude': -73.94481}",,-kwklsFI3zfmx_IrohGfvA,"[{'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'eventphotography', 'title': 'Event Photography'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.79138,-73.94481
Amy Lawday Films,"['Brooklyn, NY 11238']",Brooklyn,5.0,1,"{'latitude': 40.67772, 'longitude': -73.96312}",,nLDKxf054v1bF6N6YYK57w,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.67772,-73.96311999999999
New Dawn Films,"['88 Greenwich St', 'Ste 2702', 'New York, NY 10006']",New York,5.0,1,"{'latitude': 40.7077779, 'longitude': -74.013832}",,OG6ZU_TSKIey7xOAd2aEXw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.707777899999996,-74.013832
Film Trade,"['86 Verona St', 'New York, NY 11231']",New York,5.0,1,"{'latitude': 40.6796212181687, 'longitude': -74.0091629592533}",,lQ9mWOYWN4r7PwHw5dCGRw,"[{'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}, {'alias': 'machinerental', 'title': 'Machine & Tool Rental'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.679621218168705,-74.0091629592533
SkyTown Entertainment,"['5 Crosby St', 'Ste 2F', 'New York, NY 10013']",New York,5.0,21,"{'latitude': 40.719785, 'longitude': -74.0002426}",,rYzKuFT1WuSFQeYmNLFmEw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.719784999999995,-74.00024259999999
GUM Studios,"['4508 2nd Ave', 'Brooklyn, NY 11232']",Brooklyn,5.0,1,"{'latitude': 40.65181, 'longitude': -74.0143}",,fyMo9IKp3WBfDnIGFOaj5Q,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.65181,-74.0143
Fine Art Productions,"['1655 Oak Tree Rd', 'Ste 270', 'Edison, NJ 08820']",Edison,4.5,21,"{'latitude': 40.5709695115082, 'longitude': -74.340228068968}",,BxLRNZD_ZHKV5qmqu56T-g,"[{'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'eventphotography', 'title': 'Event Photography'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.5709695115082,-74.340228068968
Sun Production,"['36-06 30th St', 'C7', 'Astoria, NY 11106']",Astoria,5.0,1,"{'latitude': 40.756815, 'longitude': -73.930988}",,WjxdpN8LpcljQbm-e67TuQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.756815,-73.930988
Automatic Studios,"['52 Bridge St', 'Brooklyn, NY 11201']",Brooklyn,4.0,7,"{'latitude': 40.703069, 'longitude': -73.98468}",,3E1y24pi_KBU8nsODIhjRg,"[{'alias': 'specialtyschools', 'title': 'Specialty Schools'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.703069,-73.98468000000001
RUX Media,"['50 Harrison St', 'Hoboken, NJ 07030']",Hoboken,5.0,1,"{'latitude': 40.7372343, 'longitude': -74.042797}",,KLFInYxpy0ktk-wQoj74BQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7372343,-74.042797
Latour de Force Productions,"['New York, NY 10019']",New York,5.0,7,"{'latitude': 40.7645378112793, 'longitude': -73.9842376708984}",,Xe-Or3UTAIz3Ml72G0cACw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7645378112793,-73.98423767089841
Gee Media,"['Brooklyn, NY 11225']",Brooklyn,5.0,4,"{'latitude': 40.66363, 'longitude': -73.95541}",,PuQIIFNgRlcebZmXrsqlkA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.66363,-73.95541
Vengo Films,"['8913 4th Ave', 'Ste 5837', 'Brooklyn, NY 11209']",Brooklyn,5.0,1,"{'latitude': 40.620018, 'longitude': -74.0292025}",,vlf3FBanE3sWdtlogKBHXQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.620018,-74.0292025
Prosper Digital TV,"['33 35th St', 'Fl 5. Ste 523', 'Brooklyn, NY 11232']",Brooklyn,5.0,6,"{'latitude': 40.65722, 'longitude': -74.00735}",,5Czvs3C_6OKqQVhMIuLmDw,"[{'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.65722,-74.00735
Red Wall Productions,"['400 W 43rd St', 'Manhattan, NY 10036']",Manhattan,5.0,1,"{'latitude': 40.7590979, 'longitude': -73.9924507}",,WBqB6TTFc41y-pDqcRQFfg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7590979,-73.99245069999999
Teleprompter Rental,"['808 Broadway', 'Ste 5P', 'New York, NY 10003']",New York,4.5,12,"{'latitude': 40.732678, 'longitude': -73.991217}",,v-ci6v-3mAjKJ8rft-g1iQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.732678,-73.991217
BAZA.Studio,"['34-36 W 32nd St', 'New York, NY 10001']",New York,5.0,1,"{'latitude': 40.747727, 'longitude': -73.987349}",,Ec00I2_Yo0r6FdwgcR8-DA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'web_design', 'title': 'Web Design'}, {'alias': 'photographystores', 'title': 'Photography Stores & Services'}]",40.747727000000005,-73.987349
An Olivetree Production,"['1350 Willoughby Ave', 'New York, NY 11237']",New York,5.0,1,"{'latitude': 40.7061738002948, 'longitude': -73.9202935099089}",,4Xy1UH_wAaHQ2GQPiq8d2A,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}]",40.70617380029479,-73.9202935099089
BB Optics,"['27 W 20th St', 'Ste 307', 'New York, NY 10011']",New York,3.0,3,"{'latitude': 40.7406105, 'longitude': -73.992708}",,VDlRpudNo0ivZOOgAdM8YA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.740610499999995,-73.992708
BC Green Screen Studio,"['152-56 W 25th St', 'Fl 2', 'Manhattan, NY 10001']",Manhattan,5.0,5,"{'latitude': 40.744865, 'longitude': -73.994056}",,FShOGp-3frOcnTAp7rPXbw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'studiotaping', 'title': 'Studio Taping'}]",40.744865000000004,-73.994056
Technicolor PostWorks,"['1411 Broadway', 'New York, NY 10018']",New York,5.0,1,"{'latitude': 40.7542267, 'longitude': -73.9875942}",,z_dPNp4AHZEFQT_q5ZZGlA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.754226700000004,-73.9875942
Killer Combo Studios,"['641 Classon Ave', 'Brooklyn, NY 11238']",Brooklyn,5.0,7,"{'latitude': 40.678534, 'longitude': -73.958435}",,fEtC46_MLieftlPK-0G3Gw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'eventphotography', 'title': 'Event Photography'}]",40.678534,-73.958435
Beyond Studios NYC,"['272 Seigel St', 'Brooklyn, NY 11206']",Brooklyn,4.5,2,"{'latitude': 40.7051734924316, 'longitude': -73.9341125488281}",,k07zZcqK7Ii-zhMyjn_7fg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'eventphotography', 'title': 'Event Photography'}]",40.705173492431605,-73.9341125488281
The Cubed Effect,"['New York, NY 11201']",New York,5.0,4,"{'latitude': 40.69347, 'longitude': -73.99052}",,edCanxvjp_VzECE2qY3Mvg,"[{'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.69347,-73.99051999999999
Hand Held Films,"['129 W 27th St', 'New York, NY 10001']",New York,2.5,6,"{'latitude': 40.74618, 'longitude': -73.99221}",,nYDsxaGxVXQrrjsA0ulrJw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.746179999999995,-73.99221
Dynasty Films Production Group,"['Queens, NY 11413']",Queens,5.0,1,"{'latitude': 40.67216, 'longitude': -73.74929}",,l5se7GI6pPukAhQFtnDF8A,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.67216,-73.74929
Spike Li Film,"['28-20 119th St', 'Fl 2', 'Queens, NY 11354']",Queens,5.0,5,"{'latitude': 40.77254, 'longitude': -73.84914}",,RGD7a3Wah_Ml-lZlf-ZkGA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'photographers', 'title': 'Photographers'}]",40.77254,-73.84914
Milk & Honey Productions,"['116 W 23rd St', 'Ste 500', 'New York, NY 10011']",New York,5.0,6,"{'latitude': 40.7431016327803, 'longitude': -73.9934090536103}",,IYNVkb2rSStShZKInbL-yQ,"[{'alias': 'videographers', 'title': 'Videographers'}]",40.7431016327803,-73.99340905361029
Caroline Sinno Photography,"['116 John St', 'Ste 3004', 'New York, NY 10038']",New York,5.0,29,"{'latitude': 40.7076289, 'longitude': -74.0058454}",,vbEaav2wy21AQRgCMpp1Cg,"[{'alias': 'eventphotography', 'title': 'Event Photography'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'estatephotography', 'title': 'Real Estate Photography'}]",40.707628899999996,-74.0058454
Starr Street Media,"['852 Rogers Ave', 'Brooklyn, NY 11226']",Brooklyn,5.0,1,"{'latitude': 40.64986, 'longitude': -73.95257}",,ZjlpNq7IDej7Y2lH1Ptu9A,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.64986,-73.95257
And/With Creative,"['102 Bay Ridge Ave', 'Ste 2F', 'Brooklyn, NY 11220']",Brooklyn,5.0,1,"{'latitude': 40.63741, 'longitude': -74.03218}",,pN4lMDRTIR-jahTxS0Crfw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.637409999999996,-74.03218000000001
Onedaybaby,"['New York, NY 10009']",New York,5.0,2,"{'latitude': 40.7271881103516, 'longitude': -73.9797286987305}",,fbm8xvS7-Rf2yinZbx6EVw,"[{'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7271881103516,-73.9797286987305
DZ Productions LLC,"['Westwood, NJ 07675']",Westwood,5.0,1,"{'latitude': 40.7368521479561, 'longitude': -74.0288829803467}",,b8X4hxPKR6A4lxx4HfnyrQ,"[{'alias': 'advertising', 'title': 'Advertising'}, {'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7368521479561,-74.0288829803467
Caryn West the Audition Coach,"['789 W End Ave', 'Ste A', 'New York, NY 10025']",New York,5.0,8,"{'latitude': 40.79704, 'longitude': -73.97213}",,mJW8PDVSc9m5JIgNfVHNgQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'artschools', 'title': 'Art Schools'}, {'alias': 'theater', 'title': 'Performing Arts'}]",40.79704,-73.97213
Digital Art Video,"['85-06 60th Ave', 'Middle Village, NY 11379']",Middle Village,5.0,1,"{'latitude': 40.7294388, 'longitude': -73.8748016}",,9503CyIBJUQqwJXGi4C0oQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}]",40.7294388,-73.8748016
Stylish Ev Productions,"['1052 Longfellow Ave', 'Bronx, NY 10459']",Bronx,5.0,1,"{'latitude': 40.82477, 'longitude': -73.88759}",,8lIRB2wXDGKGTzloFOO2tw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'photographers', 'title': 'Photographers'}, {'alias': 'videographers', 'title': 'Videographers'}]",40.82477,-73.88759
Tom Ragan Films,"['Brooklyn, NY 11215']",Brooklyn,5.0,2,"{'latitude': 40.66889, 'longitude': -73.9819}",,U_QjqITHmmrJ8Gc8moWqag,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}]",40.668890000000005,-73.9819
Transcendent Enterprise,"['121 West 27 St', 'Ste 1003c', 'New York, NY 10010']",New York,5.0,7,"{'latitude': 40.7460684, 'longitude': -73.9919615}",,ugIrHjsK0vjhC6PGxyWlJA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'marketing', 'title': 'Marketing'}, {'alias': 'photographystores', 'title': 'Photography Stores & Services'}]",40.7460684,-73.9919615
