Name,Address,City,Rating,Review Count,Coordinates,Price
Caryn West the Audition Coach,"['789 W End Ave', 'Ste A', 'New York, NY 10025']",New York,5.0,8,"{'latitude': 40.79704, 'longitude': -73.97213}",
Freedom Film,"['444 Gregory Rd', 'Paramus, NJ 07652']",Paramus,5.0,11,"{'latitude': 40.9448021263531, 'longitude': -74.0746893391479}",
"Gotham Sound & Communications, Inc","['35-10 36th Ave', 'Second Fl', 'Long Island City, NY 11106']",Long Island City,4.0,4,"{'latitude': 40.7548453, 'longitude': -73.9264109}",
Music Works NYC,"['215 W 91st St', 'New York, NY 10024']",New York,5.0,1,"{'latitude': 40.79127, 'longitude': -73.9734}",
World Cinema Partners,"['204-04 Hillside Ave', 'Queens, NY 11423']",Queens,5.0,1,"{'latitude': 40.7202215, 'longitude': -73.7608172}",
BAZA.Studio,"['34-36 W 32nd St', 'New York, NY 10001']",New York,5.0,1,"{'latitude': 40.747727, 'longitude': -73.987349}",
Spike Li Film,"['28-20 119th St', 'Fl 2', 'Queens, NY 11354']",Queens,5.0,5,"{'latitude': 40.77254, 'longitude': -73.84914}",
Gotham Films,"['1101 W Edgar Rd', 'Hangar 500', 'Linden, NJ 07036']",Linden,5.0,1,"{'latitude': 40.6141, 'longitude': -74.244516}",
Michael King - Wedding Photographer by ARTLOOK,"['260 65th St', 'Brooklyn, NY 10019']",Brooklyn,5.0,14,"{'latitude': 40.639374, 'longitude': -74.024275}",
UT CINEMA  Film Production,"['7600 Shore Front Pkwy', 'Arverne, NY 11692']",Arverne,5.0,5,"{'latitude': 40.587629, 'longitude': -73.80298}",
Onedaybaby,"['New York, NY 10009']",New York,5.0,2,"{'latitude': 40.7271881103516, 'longitude': -73.9797286987305}",
Milk & Honey Productions,"['116 W 23rd St', 'Ste 500', 'New York, NY 10011']",New York,5.0,6,"{'latitude': 40.7431016327803, 'longitude': -73.9934090536103}",
Women Make Movies,"['115 W 29th St', 'Ste 1200', 'New York, NY 10001']",New York,5.0,1,"{'latitude': 40.7472, 'longitude': -73.99084}",
Hand Held Films,"['129 W 27th St', 'New York, NY 10001']",New York,2.5,6,"{'latitude': 40.74618, 'longitude': -73.99221}",
Future Analog,"['240 Saint Nicholas Ave', 'Brooklyn, NY 11237']",Brooklyn,5.0,33,"{'latitude': 40.7027, 'longitude': -73.9139299}",
BB Optics,"['27 W 20th St', 'Ste 307', 'New York, NY 10011']",New York,3.0,3,"{'latitude': 40.7406105, 'longitude': -73.992708}",
Chromavision,"['49 W 27th St', 'Ste 900', 'New York, NY 10001']",New York,3.5,3,"{'latitude': 40.745328, 'longitude': -73.9902255}",
GT Modern Creations,"['Brooklyn, NY 11237']",Brooklyn,5.0,2,"{'latitude': 40.7043156, 'longitude': -73.9212858}",
