Name,Address,City,Rating,Review Count,Coordinates,Price
Sunday in Brooklyn,"['348 Wythe Ave', 'Brooklyn, NY 11249']",Brooklyn,4.0,826,"{'latitude': 40.714145, 'longitude': -73.965322}",2.0
Elegantize Productions,"['34-18 Northern Blvd', 'Long Island City, NY 11101']",Long Island City,5.0,1,"{'latitude': 40.75172, 'longitude': -73.92916}",
Henry Street Settlement: Abrons Arts Center,"['466 Grand St', 'New York, NY 10002']",New York,4.5,13,"{'latitude': 40.71521, 'longitude': -73.98375}",
Steve Palmer Films,"['New York, NY 11215']",New York,5.0,1,"{'latitude': 40.66874, 'longitude': -73.98181}",
Empire Steak House,"['151 E 50th St', 'New York, NY 10022']",New York,4.0,287,"{'latitude': 40.75615, 'longitude': -73.97127}",3.0
Nippon Cha,"['39-34 Bell Blvd', 'Bayside, NY 11361']",Bayside,4.0,881,"{'latitude': 40.76432, 'longitude': -73.77167}",2.0
Harry Potter and the Cursed Child,"['214 W 43rd St', 'New York, NY 10036']",New York,4.5,145,"{'latitude': 40.75696, 'longitude': -73.9873}",
The Smith,"['1900 Broadway', 'New York, NY 10023']",New York,4.0,1744,"{'latitude': 40.7716201269986, 'longitude': -73.9818377981476}",2.0
K Rico Steakhouse,"['772 9th Ave', 'New York, NY 10019']",New York,4.5,624,"{'latitude': 40.764345, 'longitude': -73.98798}",3.0
Mirrortone Studios,"['146 W 29th St', 'New York, NY 10001']",New York,5.0,3,"{'latitude': 40.74741, 'longitude': -73.99208}",
Amali,"['115 E 60th St', 'New York, NY 10022']",New York,4.0,412,"{'latitude': 40.7633557384716, 'longitude': -73.9686296877489}",2.0
Fine Art Productions,"['1655 Oak Tree Rd', 'Ste 270', 'Edison, NJ 08820']",Edison,4.5,19,"{'latitude': 40.5709695115082, 'longitude': -74.340228068968}",
The Public Theater,"['425 Lafayette St', 'New York, NY 10003']",New York,4.0,66,"{'latitude': 40.72921, 'longitude': -73.99177}",
Old Homestead Steak House,"['56 9th Ave', 'New York, NY 10011']",New York,3.5,1047,"{'latitude': 40.74121, 'longitude': -74.00477}",4.0
Ruth's Chris Steak House,"['1000 Harbor Blvd', 'Weehawken, NJ 07086']",Weehawken,4.0,455,"{'latitude': 40.759446, 'longitude': -74.022704}",4.0
Ainslie,"['76 Ainslie St', 'Brooklyn, NY 11211']",Brooklyn,4.0,219,"{'latitude': 40.712343, 'longitude': -73.952121}",2.0
New Amsterdam Theatre,"['214 West 42nd St', 'New York, NY 10036']",New York,4.0,193,"{'latitude': 40.756257, 'longitude': -73.987912}",
Il Falco,"['21-50 44th Dr', 'Long Island City, NY 11101']",Long Island City,4.5,294,"{'latitude': 40.7476595714373, 'longitude': -73.9455319123659}",3.0
