Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Club db Lounge,"['8206 Firestone Blvd', 'Downey, CA 90241']",Downey,2.5,400,"{'latitude': 33.940692, 'longitude': -118.134762}",2.0,KX1aizBdWsJaAgtIUuAMGg,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}]"
Genever,"['3123 Beverly Blvd', 'Los Angeles, CA 90057']",Los Angeles,4.5,85,"{'latitude': 34.0722702934805, 'longitude': -118.282888333333}",2.0,09mUUSF7y6vfe2gr8HCyWQ,"[{'alias': 'lounges', 'title': 'Lounges'}]"
Death & Co - Los Angeles,"['818 E 3rd St', 'Los Angeles, CA 90013']",Los Angeles,4.0,54,"{'latitude': 34.04571, 'longitude': -118.23563}",,XU5YmT2y1-V3e5lW_15b0A,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'restaurants', 'title': 'Restaurants'}]"
The Powder Room,"['1606 N Cahuenga Blvd', 'Los Angeles, CA 90028']",Los Angeles,4.5,68,"{'latitude': 34.1000529, 'longitude': -118.3294078}",2.0,9Cv_Xq_e0gikKzG0SFpRBw,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
Alibi Room,"['12236 W Washington Blvd', 'Los Angeles, CA 90066']",Los Angeles,4.0,1491,"{'latitude': 33.99689, 'longitude': -118.42654}",2.0,xRB-PmYVsVXVY1TaYUjapw,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
Elevate Lounge,"['811 Wilshire Blvd', 'Ste 2100', 'Los Angeles, CA 90017']",Los Angeles,3.5,1089,"{'latitude': 34.0498199, 'longitude': -118.25819}",2.0,xDj7OOkKMoNucsb3idQaqw,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}]"
Tequila Joe's Tacos and Margaritas,"['12223 W Washington Blvd', 'Los Angeles, CA 90066']",Los Angeles,5.0,5,"{'latitude': 33.9974389, 'longitude': -118.4262990501456}",,24ojocaxOOexdeXwTOWDQw,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
The Backroom,"['8788 W Sunset Blvd', 'West Hollywood, CA 90069']",West Hollywood,4.5,23,"{'latitude': 34.0909431, 'longitude': -118.3826379}",2.0,Lndm8I3sfckGiZ4LopJ8WQ,"[{'alias': 'lounges', 'title': 'Lounges'}]"
Flashbackz Lounge & Grill,"['7013 Greenleaf Ave', 'Whittier, CA 90602']",Whittier,4.0,33,"{'latitude': 33.97859, 'longitude': -118.03769}",,FP8XY356NmsmZMsW4jOF3g,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'bbq', 'title': 'Barbeque'}]"
The Bungalow Santa Monica,"['101 Wilshire Blvd', 'Santa Monica, CA 90401']",Santa Monica,3.5,1272,"{'latitude': 34.0175551881817, 'longitude': -118.501418628602}",2.0,3I4e_6t-2pp28Pt-5DwDHA,"[{'alias': 'lounges', 'title': 'Lounges'}]"
Juniper,"['8490 Sunset Blvd', 'West Hollywood, CA 90069']",West Hollywood,5.0,8,"{'latitude': 34.094176, 'longitude': -118.3756501}",,ZePKdh550d-uNW9WTi1Bsg,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
Blue Goose Lounge,"['5201 W Sunset Blvd', 'Los Angeles, CA 90027']",Los Angeles,4.0,208,"{'latitude': 34.0982549, 'longitude': -118.3034489}",2.0,xh_yxOrg_cnbVb83wRPDdw,"[{'alias': 'lounges', 'title': 'Lounges'}]"
1370 Rooftop Lounge,"['14545 Friar St', 'Ste 103', 'Van Nuys, CA 91411']",Van Nuys,5.0,1,"{'latitude': 34.18594, 'longitude': -118.450372}",,lnyLy0fqn7vT9xBHu7EG-A,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'lounges', 'title': 'Lounges'}]"
SALT Restaurant and Bar,"['13534 Bali Way', 'Marina del Rey, CA 90292']",Marina del Rey,3.5,1204,"{'latitude': 33.9801104537557, 'longitude': -118.445956060783}",2.0,nps0CdUjiN91FtDwpTrcdg,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
Lock & Key,"['239 S Vermont Ave', 'Los Angeles, CA 90004']",Los Angeles,3.5,1001,"{'latitude': 34.06939, 'longitude': -118.29188}",2.0,5bQQhR_B1XldVwNOk_CCZw,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'speakeasies', 'title': 'Speakeasies'}]"
Moonshadows,"['20356 Pacific Coast Hwy', 'Malibu, CA 90265']",Malibu,4.0,2410,"{'latitude': 34.037591, 'longitude': -118.618571}",3.0,KVXIBTvMVU0qU0wZX08fBg,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'lounges', 'title': 'Lounges'}]"
Seventy7 North,"['12514 Ventura Blvd', 'Los Angeles, CA 91604']",Los Angeles,4.0,108,"{'latitude': 34.1426189, 'longitude': -118.4059177}",2.0,QW0w_QwMUUlGRfPV_kIs7Q,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
