Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories,Latitude,Longitude
BCD Tofu House,"['5W 32nd St', 'New York, NY 10001']",New York,4.0,2066,"{'latitude': 40.747509, 'longitude': -73.986079}",2.0,gXnC_aZR09BvqEQKGKFjBg,"[{'alias': 'korean', 'title': 'Korean'}]",40.747509,-73.986079
Woori Korean,"['336 Myrtle Ave', 'Brooklyn, NY 11205']",Brooklyn,5.0,2,"{'latitude': 40.693085, 'longitude': -73.973077}",,l0vT-Cw6JBmhhJhCOT8b0Q,"[{'alias': 'korean', 'title': 'Korean'}]",40.693085,-73.973077
Reception Bar,"['45 Orchard St', 'New York, NY 10002']",New York,4.5,57,"{'latitude': 40.7163598, 'longitude': -73.9913564}",,oMtJwDxuuxZPvGMgHOoAbQ,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'korean', 'title': 'Korean'}]",40.7163598,-73.9913564
Tang Restaurant,"['196-50 Northern Blvd', 'Flushing, NY 11358']",Flushing,4.0,667,"{'latitude': 40.75744, 'longitude': -73.78383}",2.0,09y5uyX7z41mjoA9fVF1bQ,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'chinese', 'title': 'Chinese'}]",40.75744,-73.78383
Kimchi Grill,"['766 Washington Ave', 'Brooklyn, NY 11238']",Brooklyn,4.0,593,"{'latitude': 40.6750885, 'longitude': -73.9634982}",2.0,XhCzENVgRBYcKwWLMX7FRg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tacos', 'title': 'Tacos'}]",40.6750885,-73.9634982
Mad For Chicken Williamsburg,"['617 Grand St', 'Brooklyn, NY 11211']",Brooklyn,4.5,131,"{'latitude': 40.71142, 'longitude': -73.94751}",2.0,P0OilvtjGnUQgf7hFzEgcg,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'korean', 'title': 'Korean'}]",40.71142,-73.94751
Pelicana Chicken - Sunnyside,"['47-08 Greenpoint Ave', 'Sunnyside, NY 11104']",Sunnyside,4.0,429,"{'latitude': 40.74236, 'longitude': -73.91755}",2.0,zcWxZaC7pnIVe2ON4uUEDw,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'burgers', 'title': 'Burgers'}]",40.74236,-73.91755
Gentle Perch,"['112 Graham Ave', 'Brooklyn, NY 11206']",Brooklyn,4.5,91,"{'latitude': 40.705106, 'longitude': -73.942587}",2.0,e_hmhxJbpSPAGEfim86PVQ,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",40.705106,-73.942587
Barn Joo,"['35 Union Sq W', 'New York, NY 10003']",New York,4.0,1639,"{'latitude': 40.73684, 'longitude': -73.99069}",2.0,FizBsTIAJwNrImIG1mPDcg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",40.73684,-73.99069
Slow Loris,"['556 Flatbush Ave', 'Brooklyn, NY 11225']",Brooklyn,4.0,101,"{'latitude': 40.6601311, 'longitude': -73.9607934}",2.0,LHcpOjPtc8QQCrFiRFjWyA,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'japanese', 'title': 'Japanese'}]",40.6601311,-73.9607934
